Name,Supplier_Contact_Information,Supplier_Product_Category
BeanVend Coffee Co.,sales@beanvend.com,Coffee Beans & Tea
DairyDirect,orders@dairydirect.com,Milk & Dairy Alternatives
BakeryGoods Inc.,supply@bakerygoods.com,Bakery & Pastries
SweetFlavors Corp.,contact@sweetflavors.com,Syrups & Powder Mixes
EcoCups Supply,support@ecocups.com,Disposable Cups & Lids
PantryEssentials,orders@pantryessentials.com,Sugar & Condiments
GreenLeaf Teas,wholesale@greenleaf.com,Tea & Matcha
The Snack Hub,procurement@snackhub.com,Pre-packaged Snacks
BeverageWholesale,info@beveragewholesale.com,Bottled Drinks & Juices
FrostyCream Co.,sales@frostycream.com,Whipped Cream & Toppings

